ms_sub_class,ms_zoning,lot_frontage,lot_area,alley,lot_shape,land_contour,lot_config,neighborhood,condition1,bldg_type,house_style,overall_qual,overall_cond,roof_style,exterior1st,exterior2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type1,bsmt_fin_sf1,bsmt_fin_type2,bsmt_fin_sf2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,fence,mo_sold,yr_sold,sale_type,sale_condition,sale_price,age,remod_age,garage_age
20.0,RL,0.0,12968.0,none,2.0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5.0,6.0,Hip,HdBoard,Plywood,None,0.0,3.0,3.0,CBlock,3.0,3.0,No,ALQ,737.0,Unf,0.0,175.0,912.0,3.0,1.0,SBrkr,912.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,3.0,4.0,8.0,0.0,0.0,Detchd,1.0,1.0,352.0,3.0,2.0,140.0,0.0,0.0,176.0,none,sep,eight,WD,Normal,144000.0,46.0,46.0,46.0
20.0,RL,91.0,10652.0,none,3.0,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7.0,5.0,Gable,VinylSd,VinylSd,Stone,306.0,4.0,3.0,PConc,4.0,3.0,2,Unf,0.0,Unf,0.0,1494.0,1494.0,5.0,1.0,SBrkr,1494.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,8.0,1.0,4.0,Attchd,2.0,3.0,840.0,3.0,2.0,160.0,33.0,0.0,0.0,none,aug,seven,New,Partial,279500.0,1.0,0.0,1.0
20.0,RL,0.0,10920.0,none,3.0,Lvl,Corner,NAmes,Norm,1Fam,1Story,6.0,5.0,Hip,MetalSd,MetalSd,BrkFace,212.0,3.0,3.0,CBlock,3.0,3.0,No,BLQ,733.0,Unf,0.0,520.0,1253.0,3.0,1.0,SBrkr,1253.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,3.0,5.0,8.0,1.0,2.0,Attchd,2.0,1.0,352.0,3.0,2.0,0.0,213.0,176.0,0.0,GdWo,may,eight,WD,Normal,157000.0,48.0,48.0,48.0
45.0,RM,51.0,6120.0,none,4.0,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7.0,8.0,Gable,Wd Sdng,Wd Sdng,None,0.0,3.0,3.0,BrkTil,3.0,3.0,No,Unf,0.0,Unf,0.0,832.0,832.0,5.0,1.0,FuseA,854.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,8.0,0.0,0.0,Detchd,1.0,2.0,576.0,3.0,2.0,48.0,112.0,0.0,0.0,GdPrv,jul,seven,WD,Normal,132000.0,78.0,6.0,16.0
20.0,RL,0.0,11241.0,none,3.0,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6.0,7.0,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,3.0,3.0,CBlock,3.0,3.0,No,ALQ,578.0,Unf,0.0,426.0,1004.0,5.0,1.0,SBrkr,1004.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,8.0,1.0,3.0,Attchd,3.0,2.0,480.0,3.0,2.0,0.0,0.0,0.0,0.0,none,mar,ten,WD,Normal,149000.0,40.0,40.0,40.0
90.0,RL,72.0,10791.0,none,4.0,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4.0,5.0,Gable,MetalSd,MetalSd,None,0.0,3.0,3.0,Slab,0.0,0.0,0,none,0.0,none,0.0,0.0,0.0,3.0,1.0,SBrkr,1296.0,0.0,1296.0,0.0,0.0,2.0,0.0,2.0,3.0,6.0,8.0,0.0,0.0,CarPort,1.0,2.0,516.0,3.0,2.0,0.0,0.0,0.0,0.0,none,oct,six,WD,Normal,90000.0,39.0,39.0,39.0
20.0,RL,66.0,13695.0,none,4.0,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5.0,5.0,Gable,VinylSd,VinylSd,None,0.0,3.0,3.0,PConc,3.0,3.0,No,GLQ,646.0,Unf,0.0,468.0,1114.0,5.0,1.0,SBrkr,1114.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,4.0,6.0,8.0,0.0,0.0,Detchd,1.0,2.0,576.0,3.0,2.0,0.0,102.0,0.0,0.0,none,jun,eight,WD,Normal,159000.0,4.0,4.0,4.0
20.0,RL,70.0,7560.0,none,4.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,6.0,Hip,BrkFace,Plywood,None,0.0,3.0,3.0,CBlock,3.0,3.0,No,LwQ,504.0,Unf,0.0,525.0,1029.0,3.0,1.0,SBrkr,1339.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,7.0,0.0,0.0,Attchd,1.0,1.0,294.0,3.0,2.0,0.0,0.0,0.0,0.0,MnPrv,may,nine,COD,Abnorml,139000.0,51.0,44.0,51.0
60.0,RL,101.0,14215.0,none,3.0,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8.0,5.0,Gable,VinylSd,VinylSd,BrkFace,380.0,4.0,3.0,PConc,5.0,3.0,2,Unf,0.0,Unf,0.0,1158.0,1158.0,5.0,1.0,SBrkr,1158.0,1218.0,2376.0,0.0,0.0,3.0,1.0,4.0,4.0,9.0,8.0,1.0,4.0,BuiltIn,2.0,3.0,853.0,3.0,2.0,240.0,154.0,0.0,0.0,none,nov,six,New,Partial,325300.0,1.0,0.0,1.0
45.0,RM,57.0,7449.0,Grvl,4.0,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7.0,7.0,Gable,Wd Sdng,Wd Sdng,None,0.0,3.0,3.0,PConc,3.0,3.0,No,Unf,0.0,Unf,0.0,637.0,637.0,5.0,1.0,FuseF,1108.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,8.0,1.0,4.0,Attchd,1.0,1.0,280.0,3.0,0.0,0.0,0.0,205.0,0.0,GdPrv,jun,seven,WD,Normal,139400.0,77.0,57.0,77.0
20.0,RL,75.0,9742.0,none,4.0,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8.0,5.0,Hip,VinylSd,VinylSd,BrkFace,281.0,4.0,3.0,PConc,4.0,3.0,No,Unf,0.0,Unf,0.0,1777.0,1777.0,5.0,1.0,SBrkr,1795.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,8.0,1.0,4.0,Attchd,2.0,2.0,534.0,3.0,2.0,171.0,159.0,0.0,0.0,none,sep,eight,WD,Normal,230000.0,6.0,6.0,6.0
120.0,RM,44.0,4224.0,none,4.0,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5.0,7.0,Gable,CemntBd,CmentBd,None,0.0,3.0,3.0,PConc,4.0,3.0,No,GLQ,840.0,Unf,0.0,200.0,1040.0,3.0,1.0,SBrkr,1060.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,3.0,6.0,8.0,1.0,3.0,Attchd,1.0,2.0,572.0,3.0,2.0,100.0,110.0,0.0,0.0,none,jun,seven,WD,Normal,129900.0,31.0,31.0,31.0
20.0,RL,0.0,8246.0,none,3.0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5.0,8.0,Gable,Plywood,Plywood,None,0.0,3.0,4.0,CBlock,3.0,3.0,1,Rec,188.0,ALQ,668.0,204.0,1060.0,5.0,1.0,SBrkr,1060.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,4.0,6.0,8.0,1.0,3.0,Attchd,1.0,1.0,270.0,3.0,2.0,406.0,90.0,0.0,0.0,MnPrv,may,ten,WD,Normal,154000.0,42.0,9.0,42.0
20.0,RL,110.0,14230.0,none,4.0,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8.0,5.0,Gable,VinylSd,VinylSd,Stone,640.0,4.0,3.0,PConc,4.0,3.0,No,Unf,0.0,Unf,0.0,1566.0,1566.0,5.0,1.0,SBrkr,1600.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,8.0,1.0,4.0,Attchd,2.0,3.0,890.0,3.0,2.0,0.0,56.0,0.0,0.0,none,jul,nine,WD,Normal,256300.0,2.0,2.0,2.0
20.0,RL,60.0,7200.0,none,4.0,Lvl,Corner,NAmes,Norm,1Fam,1Story,5.0,7.0,Gable,Wd Sdng,Wd Sdng,None,0.0,3.0,3.0,CBlock,3.0,3.0,1,BLQ,234.0,Rec,486.0,180.0,900.0,3.0,1.0,SBrkr,900.0,0.0,900.0,0.0,1.0,1.0,0.0,3.0,4.0,5.0,8.0,0.0,0.0,Detchd,1.0,2.0,576.0,3.0,2.0,222.0,32.0,0.0,0.0,none,may,ten,WD,Normal,134800.0,59.0,10.0,5.0
20.0,RL,98.0,11478.0,none,4.0,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8.0,5.0,Gable,VinylSd,VinylSd,Stone,200.0,4.0,3.0,PConc,5.0,3.0,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,5.0,1.0,SBrkr,1704.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,4.0,7.0,8.0,1.0,4.0,Attchd,2.0,3.0,772.0,3.0,2.0,0.0,50.0,0.0,0.0,none,may,ten,WD,Normal,306000.0,3.0,2.0,2.0
20.0,RL,47.0,16321.0,none,3.0,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5.0,6.0,Gable,MetalSd,MetalSd,None,0.0,3.0,3.0,CBlock,3.0,3.0,3,BLQ,1277.0,Unf,0.0,207.0,1484.0,3.0,1.0,SBrkr,1600.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,3.0,6.0,8.0,2.0,4.0,Attchd,2.0,1.0,319.0,3.0,2.0,288.0,258.0,0.0,0.0,none,dec,six,WD,Normal,207500.0,49.0,9.0,49.0
30.0,RM,60.0,6324.0,none,3.0,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4.0,6.0,Gable,MetalSd,MetalSd,None,0.0,3.0,3.0,BrkTil,3.0,3.0,No,Unf,0.0,Unf,0.0,520.0,520.0,2.0,0.0,SBrkr,520.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,8.0,0.0,0.0,Detchd,1.0,1.0,240.0,2.0,2.0,49.0,0.0,87.0,0.0,none,may,eight,WD,Normal,68500.0,81.0,58.0,88.0
70.0,C (all),50.0,8500.0,Pave,4.0,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4.0,4.0,Gambrel,BrkFace,BrkFace,None,0.0,3.0,2.0,BrkTil,3.0,3.0,No,Unf,0.0,Unf,0.0,649.0,649.0,3.0,0.0,SBrkr,649.0,668.0,1317.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,8.0,0.0,0.0,Detchd,1.0,1.0,250.0,3.0,0.0,0.0,54.0,172.0,0.0,MnPrv,jul,eight,WD,Normal,40000.0,88.0,58.0,88.0
20.0,RL,0.0,8544.0,none,3.0,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5.0,6.0,Gable,HdBoard,HdBoard,None,0.0,3.0,3.0,CBlock,3.0,3.0,No,Unf,0.0,Unf,0.0,1228.0,1228.0,4.0,1.0,SBrkr,1228.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,4.0,6.0,8.0,0.0,0.0,Attchd,1.0,1.0,271.0,3.0,2.0,0.0,65.0,0.0,0.0,MnPrv,jun,eight,WD,Normal,149350.0,42.0,2.0,42.0
20.0,RL,85.0,11049.0,none,4.0,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8.0,5.0,Gable,VinylSd,VinylSd,None,0.0,4.0,3.0,PConc,5.0,3.0,2,Unf,0.0,Unf,0.0,1234.0,1234.0,5.0,1.0,SBrkr,1234.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,8.0,0.0,0.0,Attchd,2.0,2.0,484.0,3.0,2.0,0.0,30.0,0.0,0.0,none,jan,eight,WD,Normal,179900.0,1.0,1.0,1.0
20.0,RL,70.0,10552.0,none,3.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,5.0,Hip,BrkFace,BrkFace,None,0.0,3.0,3.0,CBlock,3.0,3.0,No,Rec,1018.0,Unf,0.0,380.0,1398.0,4.0,1.0,SBrkr,1700.0,0.0,1700.0,0.0,1.0,1.0,1.0,4.0,4.0,6.0,8.0,1.0,4.0,Attchd,2.0,2.0,447.0,3.0,2.0,0.0,38.0,0.0,0.0,none,apr,ten,WD,Normal,165500.0,51.0,51.0,51.0
120.0,RL,60.0,7313.0,none,4.0,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9.0,5.0,Hip,MetalSd,MetalSd,BrkFace,246.0,5.0,3.0,PConc,5.0,3.0,No,GLQ,1153.0,Unf,0.0,408.0,1561.0,5.0,1.0,SBrkr,1561.0,0.0,1561.0,1.0,0.0,2.0,0.0,2.0,5.0,6.0,8.0,1.0,4.0,Attchd,3.0,2.0,556.0,3.0,2.0,203.0,47.0,0.0,0.0,none,aug,seven,WD,Normal,277500.0,2.0,2.0,2.0
60.0,RL,108.0,13418.0,none,4.0,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8.0,5.0,Gable,VinylSd,VinylSd,Stone,132.0,4.0,3.0,PConc,5.0,3.0,2,Unf,0.0,Unf,0.0,1117.0,1117.0,5.0,1.0,SBrkr,1132.0,1320.0,2452.0,0.0,0.0,3.0,1.0,4.0,4.0,9.0,8.0,1.0,4.0,BuiltIn,3.0,3.0,691.0,3.0,2.0,113.0,32.0,0.0,0.0,none,sep,six,WD,Normal,309000.0,2.0,1.0,2.0
20.0,RL,112.0,10859.0,none,4.0,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5.0,5.0,Gable,VinylSd,VinylSd,None,0.0,3.0,3.0,PConc,4.0,3.0,No,Unf,0.0,Unf,0.0,1097.0,1097.0,5.0,1.0,SBrkr,1097.0,0.0,1097.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,8.0,0.0,0.0,Attchd,1.0,2.0,672.0,3.0,2.0,392.0,64.0,0.0,0.0,none,jun,nine,WD,Normal,145000.0,15.0,14.0,14.0
20.0,RL,74.0,8532.0,none,4.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,6.0,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,3.0,3.0,CBlock,3.0,3.0,No,Rec,1213.0,Unf,0.0,84.0,1297.0,4.0,1.0,SBrkr,1297.0,0.0,1297.0,0.0,1.0,1.0,0.0,3.0,3.0,5.0,8.0,1.0,3.0,Attchd,3.0,2.0,498.0,3.0,2.0,0.0,0.0,0.0,0.0,none,oct,nine,WD,Normal,153000.0,55.0,19.0,55.0
20.0,RL,68.0,7922.0,none,4.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,7.0,Gable,VinylSd,VinylSd,None,0.0,3.0,4.0,CBlock,3.0,3.0,No,GLQ,731.0,Unf,0.0,326.0,1057.0,3.0,1.0,SBrkr,1057.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,4.0,5.0,8.0,0.0,0.0,Detchd,1.0,1.0,246.0,3.0,2.0,0.0,52.0,0.0,0.0,none,jan,ten,WD,Abnorml,109000.0,57.0,3.0,57.0
90.0,RL,65.0,6040.0,none,4.0,Lvl,Inside,Edwards,Norm,Duplex,1Story,4.0,5.0,Gable,AsbShng,Plywood,None,0.0,3.0,3.0,PConc,0.0,0.0,0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,FuseP,1152.0,0.0,1152.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0,8.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,jun,eight,WD,AdjLand,82000.0,53.0,53.0,0.0
20.0,RL,84.0,8658.0,none,4.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,6.0,5.0,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,3.0,3.0,CBlock,3.0,3.0,No,Rec,643.0,Unf,0.0,445.0,1088.0,5.0,1.0,SBrkr,1324.0,0.0,1324.0,0.0,0.0,2.0,0.0,3.0,3.0,6.0,8.0,1.0,3.0,Attchd,2.0,2.0,440.0,3.0,2.0,0.0,138.0,0.0,0.0,GdWo,dec,six,WD,Abnorml,160000.0,41.0,41.0,41.0
20.0,RL,115.0,16905.0,none,4.0,Lvl,Inside,Timber,Norm,1Fam,1Story,5.0,6.0,Gable,VinylSd,VinylSd,None,0.0,3.0,4.0,CBlock,3.0,3.0,3,BLQ,967.0,Unf,0.0,383.0,1350.0,4.0,1.0,SBrkr,1328.0,0.0,1328.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,8.0,2.0,4.0,Attchd,2.0,1.0,308.0,3.0,1.0,0.0,104.0,0.0,0.0,none,jul,seven,WD,Normal,170000.0,48.0,48.0,48.0
85.0,RL,0.0,9180.0,none,3.0,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5.0,7.0,Gable,HdBoard,HdBoard,None,0.0,3.0,3.0,CBlock,4.0,3.0,2,ALQ,747.0,LwQ,93.0,0.0,840.0,4.0,1.0,SBrkr,884.0,0.0,884.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,8.0,0.0,0.0,Attchd,2.0,2.0,504.0,3.0,2.0,240.0,0.0,0.0,0.0,MnPrv,dec,seven,WD,Normal,144000.0,24.0,24.0,24.0
20.0,RL,0.0,9200.0,none,3.0,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5.0,6.0,Hip,VinylSd,VinylSd,None,0.0,3.0,3.0,CBlock,4.0,3.0,2,LwQ,280.0,BLQ,491.0,167.0,938.0,3.0,1.0,SBrkr,938.0,0.0,938.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,8.0,0.0,0.0,Detchd,1.0,1.0,308.0,3.0,2.0,145.0,0.0,0.0,0.0,MnPrv,jul,eight,WD,Normal,130250.0,33.0,28.0,31.0
20.0,RL,70.0,7945.0,none,4.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,6.0,Gable,BrkFace,Wd Sdng,None,0.0,3.0,3.0,CBlock,3.0,3.0,No,ALQ,179.0,BLQ,506.0,465.0,1150.0,5.0,1.0,FuseA,1150.0,0.0,1150.0,1.0,0.0,1.0,0.0,3.0,3.0,6.0,8.0,0.0,0.0,Attchd,2.0,1.0,300.0,3.0,2.0,0.0,0.0,0.0,0.0,none,may,six,WD,Normal,141000.0,47.0,47.0,47.0
120.0,RL,61.0,7658.0,none,4.0,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9.0,5.0,Hip,MetalSd,MetalSd,BrkFace,412.0,5.0,3.0,PConc,5.0,3.0,No,GLQ,456.0,Unf,0.0,1296.0,1752.0,5.0,1.0,SBrkr,1752.0,0.0,1752.0,1.0,0.0,2.0,0.0,2.0,5.0,6.0,8.0,1.0,4.0,Attchd,2.0,2.0,576.0,3.0,2.0,196.0,82.0,0.0,0.0,none,feb,ten,WD,Normal,319900.0,5.0,5.0,5.0
50.0,RL,48.0,12822.0,none,3.0,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7.0,5.0,Gable,VinylSd,VinylSd,None,0.0,4.0,3.0,PConc,5.0,3.0,No,GLQ,1351.0,Unf,0.0,83.0,1434.0,5.0,1.0,SBrkr,1518.0,631.0,2149.0,1.0,0.0,1.0,1.0,1.0,4.0,6.0,8.0,1.0,5.0,Attchd,2.0,2.0,670.0,3.0,2.0,168.0,43.0,0.0,198.0,none,aug,nine,WD,Abnorml,239686.0,6.0,6.0,6.0
20.0,FV,84.0,11096.0,none,4.0,Lvl,Inside,Somerst,Norm,1Fam,1Story,8.0,5.0,Gable,VinylSd,VinylSd,None,0.0,4.0,3.0,PConc,4.0,3.0,2,GLQ,24.0,Unf,0.0,1632.0,1656.0,5.0,1.0,SBrkr,1656.0,0.0,1656.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,8.0,0.0,0.0,Attchd,2.0,3.0,826.0,3.0,2.0,0.0,146.0,0.0,0.0,none,jul,seven,WD,Normal,249700.0,1.0,1.0,1.0
